group,exe,app,name,exec_num,duration,avg_duration,input_size,throughput
,icgrep,Brill,run_regex,3,3736.79,1245.5966666666666,0.95367431640625,0.7840118122773825
,ngap,Brill,run_regex,3,866.754,288.918,0.95367431640625,3.380068046989111
,icgrep,CAV,run_regex,3,120.81,40.27,0.95367431640625,24.25037248572138
,ngap,CAV,run_regex,3,1146.728,382.2426666666667,0.95367431640625,2.5548233757264143
,icgrep,Dotstar,run_regex,3,313.081,104.36033333333334,0.95367431640625,9.357602345718838
,ngap,Dotstar,run_regex,3,66.014,22.004666666666665,0.95367431640625,44.37979065046809
,icgrep,Protomata,run_regex,3,3915.0400000000004,1305.0133333333335,0.95367431640625,0.748316109158527
,ngap,Protomata,run_regex,3,476.241,158.74699999999999,0.95367431640625,6.151691055579003
,icgrep,Snort,run_regex,1,159.992,159.992,0.95367431640625,6.103820816040803
,ngap,Snort,run_regex,3,68.13589999999999,22.711966666666665,0.95367431640625,42.99770752275966
,icgrep,Yara,run_regex,3,2776.201,925.4003333333334,0.95367431640625,1.0552865228418258
,ngap,Yara,run_regex,3,146.058,48.686,0.95367431640625,20.058384340467487
,icgrep,Bro217,run_regex,3,35.522,11.840666666666666,0.95367431640625,82.47529699904285
,ngap,Bro217,run_regex,3,27.386560000000003,9.128853333333334,0.95367431640625,106.97537405208978
,icgrep,ExactMatch,run_regex,3,89.69200000000001,29.897333333333336,0.95367431640625,32.66386634259465
,ngap,ExactMatch,run_regex,3,29.63427,9.87809,0.95367431640625,98.86147018300096
,icgrep,Ranges1,run_regex,3,91.184,30.394666666666666,0.95367431640625,32.12940318476926
,ngap,Ranges1,run_regex,3,28.823230000000002,9.607743333333334,0.95367431640625,101.643275233206
,icgrep,TCP,run_regex,3,51.361000000000004,17.120333333333335,0.95367431640625,57.04109148965168
,ngap,TCP,run_regex,3,28.583170000000003,9.527723333333334,0.95367431640625,102.49694138193908
