group,exe,app,name,exec_num,duration,avg_duration,input_size,throughput
,hs,Brill,run_regex,3,928.169,309.38966666666664,0.95367431640625,3.1564160190654937
,hs_2,Brill,run_regex,3,1005.7,335.23333333333335,0.95367431640625,2.913082927314308
,hs_4,Brill,run_regex,3,1102.886,367.6286666666667,0.95367431640625,2.656382889981376
,hs_8,Brill,run_regex,3,601.423,200.47433333333333,0.95367431640625,4.871259496228112
,hs,CAV,run_regex,3,33.949999999999996,11.316666666666665,0.95367431640625,86.29418262150223
,hs_2,CAV,run_regex,3,36.039,12.013,0.95367431640625,81.29214184633314
,hs_4,CAV,run_regex,3,38.458,12.819333333333333,0.95367431640625,76.17888345727808
,hs_8,CAV,run_regex,3,31.103,10.367666666666667,0.95367431640625,94.19308426839855
,hs,Dotstar,run_regex,3,34.333,11.444333333333333,0.95367431640625,85.33153234497422
,hs_2,Dotstar,run_regex,3,34.098,11.366,0.95367431640625,85.91962871722681
,hs_4,Dotstar,run_regex,3,38.574,12.857999999999999,0.95367431640625,75.94979779125836
,hs_8,Dotstar,run_regex,3,28.168,9.389333333333333,0.95367431640625,104.00765052541892
,hs,Protomata,run_regex,3,2816.905,938.9683333333334,0.95367431640625,1.040037736451886
,hs_2,Protomata,run_regex,3,2952.281,984.0936666666666,0.95367431640625,0.9923471038156598
,hs_4,Protomata,run_regex,3,3283.233,1094.411,0.95367431640625,0.8923178769219242
,hs_8,Protomata,run_regex,3,968.7140000000002,322.90466666666674,0.95367431640625,3.0243059354979893
,hs,Snort,run_regex,3,90.548,30.182666666666666,0.95367431640625,32.35507686530901
,hs_2,Snort,run_regex,3,91.62899999999999,30.542999999999996,0.95367431640625,31.973365419245003
,hs_4,Snort,run_regex,3,86.31,28.77,0.95367431640625,33.9437782412235
,hs_8,Snort,run_regex,3,88.892,29.630666666666666,0.95367431640625,32.95783085092022
,hs,Yara,run_regex,3,8.583,2.861,0.95367431640625,341.3360713037399
,hs_2,Yara,run_regex,3,11.809000000000001,3.9363333333333337,0.95367431640625,248.08938098060798
,hs_4,Yara,run_regex,3,15.751999999999999,5.250666666666667,0.95367431640625,185.98828720162518
,hs_8,Yara,run_regex,3,14.039000000000001,4.679666666666667,0.95367431640625,208.6820642495904
,hs,Bro217,run_regex,3,8.091000000000001,2.6970000000000005,0.95367431640625,362.0921394141638
,hs_2,Bro217,run_regex,3,15.085,5.028333333333333,0.95367431640625,194.21196552867087
,hs_4,Bro217,run_regex,3,15.04,5.013333333333333,0.95367431640625,194.79305186170214
,hs_8,Bro217,run_regex,3,11.64,3.8800000000000003,0.95367431640625,251.69136597938143
,hs,ExactMatch,run_regex,3,2.4170000000000003,0.8056666666666668,0.95367431640625,1212.1172941663217
,hs_2,ExactMatch,run_regex,3,4.19,1.3966666666666667,0.95367431640625,699.2094272076372
,hs_4,ExactMatch,run_regex,3,7.917,2.639,0.95367431640625,370.0502084122774
,hs_8,ExactMatch,run_regex,3,7.96,2.6533333333333333,0.95367431640625,368.0511934673367
,hs,Ranges1,run_regex,3,18.695999999999998,6.231999999999999,0.95367431640625,156.70129974326062
,hs_2,Ranges1,run_regex,3,23.535,7.845,0.95367431640625,124.4821542383684
,hs_4,Ranges1,run_regex,3,22.883,7.627666666666666,0.95367431640625,128.0289953240397
,hs_8,Ranges1,run_regex,3,27.758000000000003,9.252666666666668,0.95367431640625,105.54389725484543
,hs,TCP,run_regex,3,8.107,2.7023333333333333,0.95367431640625,361.3775132601456
,hs_2,TCP,run_regex,3,10.61,3.5366666666666666,0.95367431640625,276.1251178133836
,hs_4,TCP,run_regex,3,14.280999999999999,4.760333333333333,0.95367431640625,205.14582312163017
,hs_8,TCP,run_regex,3,8.733,2.911,0.95367431640625,335.4732050841635
